id,name,team
12147,Nick Ahmed,ARI
9063,Alexi Amarista,SD
8709,Elvis Andrus,TEX
8353,Dean Anna,STL
4082,Erick Aybar,ATL
12979,Javier Baez,CHC
1830,Clint Barmes,SD
8219,Jason Bartlett,N/A
9958,Jeff Bianchi,MIL
1066,Willie Bloomquist,SEA
12161,Xander Bogaerts,BOS
4962,Asdrubal Cabrera,TB
8155,Everth Cabrera,BAL
766,Orlando Cabrera,N/A
1591,Jamey Carroll,MIN
4579,Starlin Castro,CHC
2179,Ronny Cedeno,STL
14162,Carlos Correa,HOU
2616,Zack Cozart,CIN
5343,Brandon Crawford,SF
sa737507,J.P. Crawford,PHI
3188,Luis Cruz,LAD
6652,Chase d'Arnaud,PIT
6885,Ian Desmond,WAS
9235,Juan Diaz,CLE
9331,Jason Donald,CIN
4251,Stephen Drew,NYY
10,David Eckstein,N/A
6310,Alcides Escobar,KC
6153,Eduardo Escobar,MIN
4191,Yunel Escobar,WAS
sa597981,Derek Fisher,HOU
7888,Ryan Flaherty,BAL
5827,Wilmer Flores,NYM
8385,Pedro Florimon,PIT
6609,Freddy Galvis,PHI
520,Alex Gonzalez,N/A
5497,Marwin Gonzalez,HOU
sa828662,Nick Gordon,MIN
6012,Didi Gregorius,NYY
144,Jerry Hairston,N/A
3797,J.J. Hardy,BAL
10459,Adeiny Hechavarria,MIA
10472,Enrique Hernandez,LAD
3206,Luis Hernandez,TEX
4182,Jonathan Herrera,BOS
10231,Jose Iglesias,DET
6596,Ryan Jackson,KC
7412,Paul Janish,ATL
826,Derek Jeter,N/A
17182,Jung-Ho Kang,PIT
2539,Pete Kozma,STL
12916,Francisco Lindor,CLE
1311,Felipe Lopez,N/A
4418,Jed Lowrie,HOU
13613,Ketel Marte,SEA
6547,Jordy Mercer,PIT
sa199270,Jesus Merchan,N/A
12775,Brad Miller,TB
sa659237,Raul Mondesi,KC
14446,Hiroyuki Nakajima,OAK
11531,Tsuyoshi Nishioka,MIN
6848,Eduardo Nunez,MIN
10030,Chris Owings,ARI
sa659464,Dorssys Paulino,CLE
3395,Cliff Pennington,ARI
1738,Jhonny Peralta,STL
13593,Jose Peraza,LAD
6335,Omar Quintanilla,N/A
5133,Alexei Ramirez,CHW
8001,Hanley Ramirez,BOS
13510,Jose Ramirez,CLE
1736,Jose Reyes,COL
971,Jimmy Rollins,LAD
1159,Andrew Romine,DET
14106,Addison Russell,CHC
11167,Josh Rutledge,BOS
6073,Brendan Ryan,NYY
1624,Freddy Sanchez,N/A
10322,Danny Santana,MIN
1417,Ramon Santiago,DET
13153,Luis Sardinas,MIL
13624,Corey Seager,LAD
5933,Jean Segura,MIL
10847,Andrelton Simmons,LAA
12552,Eugenio Suarez,CIN
13757,Chris Taylor,SEA
941,Miguel Tejada,N/A
5519,Ruben Tejada,NYM
10416,Wilfredo Tovar,NYM
193,Carlos Triunfel,N/A
3531,Troy Tulowitzki,TOR
16252,Trea Turner,WAS
1863,Wilson Valdez,CIN
10071,Jonathan Villar,HOU
411,Omar Vizquel,N/A
198,Danny Worth,DET
7435,Ben Zobrist,KC
945,Bobby Abreu,LAD
10099,Dustin Ackley,NYY
5486,Abraham Almonte,CLE
6732,Zoilo Almonte,ATL
sa657859,Albert Almora,CHC
11270,Aaron Altherr,PHI
1142,Rick Ankiel,N/A
13075,Norichika Aoki,SF
10306,Oswaldo Arcia,MIN
8471,Xavier Avery,BAL
629,Brandon Barnes,COL
1887,Jose Bautista,TOR
4464,Mike Baxter,NYM
1717,Jason Bay,N/A
589,Carlos Beltran,NYY
2845,Joe Benson,ATL
6421,Roger Bernadina,WAS
9414,Quintin Berry,BAL
13611,Mookie Betts,BOS
7859,Charlie Blackmon,COL
3123,Gregor Blanco,SF
914,Brennan Boesch,CIN
4719,Brian Bogusevic,PHI
3209,Julio Borbon,N/A
2225,Jason Bourgeois,CIN
2578,Peter Bourjos,STL
6387,Michael Bourn,ATL
12984,Jackie Bradley,BOS
369,Milton Bradley,N/A
4106,Michael Brantley,CLE
3410,Ryan Braun,MIL
3837,Andrew Brown,OAK
3154,Domonic Brown,PHI
11464,Gary Brown,SF
9892,Jay Bruce,CIN
12701,Billy Burns,OAK
949,Pat Burrell,N/A
7799,Joey Butler,TB
14161,Byron Buxton,MIN
950,Marlon Byrd,SF
4022,Melky Cabrera,CHW
9077,Lorenzo Cain,KC
11200,Kole Calhoun,LAA
1070,Mike Cameron,N/A
4964,Tony Campana,CHW
6938,Eric Campbell,NYM
11445,Mark Canha,OAK
9048,Ezequiel Carrera,DET
9911,Chris Carter,HOU
7223,Alex Castellanos,NYM
17016,Rusney Castillo,BOS
13110,Yoenis Cespedes,NYM
7995,Adron Chambers,STL
768,Endy Chavez,SEA
11376,Michael Choice,CLE
3174,Shin-Soo Choo,TEX
6878,Chris Coghlan,CHC
5310,Tyler Colvin,COL
16376,Michael Conforto,NYM
6003,Jose Constanza,ATL
